2020-05-24 17:08:43,381 p=18427 u=root n=ansible | ERROR! The vault password file /root/automate/docker/praveen.pem was not found
2020-05-24 17:24:56,352 p=19818 u=root n=ansible | TASK [loading file] *********************************************************************************************************************************
2020-05-24 17:24:57,605 p=19818 u=root n=ansible | changed: [node02]
2020-05-24 17:24:57,768 p=19818 u=root n=ansible | changed: [node01]
2020-05-24 17:24:57,775 p=19818 u=root n=ansible | changed: [node03]
2020-05-24 17:24:57,810 p=19818 u=root n=ansible | TASK [Adding files] *********************************************************************************************************************************
2020-05-24 17:24:59,143 p=19818 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:24:59,144 p=19818 u=root n=ansible | fatal: [node02]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330298.0626647-197456965824168/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330298.0626647-197456965824168/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330298.0626647-197456965824168/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_FRoyLD/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:24:59,286 p=19818 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:24:59,286 p=19818 u=root n=ansible | fatal: [node03]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330298.1571593-135235726809668/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330298.1571593-135235726809668/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330298.1571593-135235726809668/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_gI9w6y/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:24:59,307 p=19818 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:24:59,308 p=19818 u=root n=ansible | fatal: [node01]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330297.9736984-280146243255067/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330297.9736984-280146243255067/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330297.9736984-280146243255067/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_sX_htu/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:24:59,309 p=19818 u=root n=ansible | PLAY RECAP ******************************************************************************************************************************************
2020-05-24 17:24:59,310 p=19818 u=root n=ansible | node01                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 17:24:59,310 p=19818 u=root n=ansible | node02                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 17:24:59,310 p=19818 u=root n=ansible | node03                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 17:28:08,542 p=20313 u=root n=ansible | PLAY [dev] ******************************************************************************************************************************************
2020-05-24 17:28:08,562 p=20313 u=root n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************
2020-05-24 17:28:11,780 p=20313 u=root n=ansible | ok: [node03]
2020-05-24 17:28:11,933 p=20313 u=root n=ansible | ok: [node01]
2020-05-24 17:28:11,945 p=20313 u=root n=ansible | ok: [node02]
2020-05-24 17:28:11,984 p=20313 u=root n=ansible | TASK [loading file] *********************************************************************************************************************************
2020-05-24 17:28:13,250 p=20313 u=root n=ansible | changed: [node02]
2020-05-24 17:28:13,421 p=20313 u=root n=ansible | changed: [node03]
2020-05-24 17:28:13,428 p=20313 u=root n=ansible | changed: [node01]
2020-05-24 17:28:13,461 p=20313 u=root n=ansible | TASK [Adding files] *********************************************************************************************************************************
2020-05-24 17:28:14,671 p=20313 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:28:14,671 p=20313 u=root n=ansible | fatal: [node02]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330493.566511-231462086028918/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330493.566511-231462086028918/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330493.566511-231462086028918/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_4zjufu/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:28:14,804 p=20313 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:28:14,805 p=20313 u=root n=ansible | fatal: [node03]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330493.6219938-175237764496440/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330493.6219938-175237764496440/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330493.6219938-175237764496440/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_WK97v5/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:28:14,821 p=20313 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
